3F-Count,,,,,,4F-Count,,,,,
,estimated,,correct,,,,estimated,,correct,,
Index P,x,y,x,y,error,Index P,x,y,x,y,error
1,30.106,0.062,32,0,1.895,1,30.073,0.0,32,0,1.927
2,29.288,0.0,30,0,0.712,2,29.947,0.0,30,0,0.053
3,25.694,0.0,28,0,2.306,3,30.009,0.0,28,0,2.009
4,29.309,0.0,26,0,3.309,4,18.229,0.0,26,0,7.771
5,25.854,0.0,24,0,1.854,5,21.342,0.0,24,0,2.658
6,20.489,0.0,22,0,1.511,6,20.794,0.0,22,0,1.206
7,20.659,0.0,20,0,0.659,7,20.415,0.0,20,0,0.415
8,17.573,0.0,18,0,0.427,8,20.524,0.0,18,0,2.524
9,10.315,0.0,16,0,5.685,9,12.489,0.0,16,0,3.511
10,9.202,0.0,14,0,4.798,10,9.418,0.0,14,0,4.582
11,9.187,0.0,12,0,2.813,11,9.206,0.0,12,0,2.794
12,9.17,0.0,10,0,0.83,12,9.201,0.0,10,0,0.799
13,9.107,0.0,8,0,1.107,13,9.202,0.0,8,0,1.202
14,9.078,-0.022,6,0,3.078,14,9.209,0.0,6,0,3.209
15,8.609,-2.082,4,0,5.057,15,3.941,-5.307,4,0,5.307
16,2.009,-7.22,2,0,7.22,16,6.361,-2.864,2,0,5.217
17,18.592,0.0,0,0,18.592,17,8.934,-0.788,0,0,8.969
18,1.739,12.618,0,2,10.759,18,8.721,-0.484,0,2,9.068
19,-0.891,14.222,0,4,10.261,19,0.0,30.278,0,4,26.278
20,0.0,16.31,0,6,10.31,20,0.0,28.181,0,6,22.181
21,0.0,15.742,0,8,7.742,21,0.0,23.001,0,8,15.001
22,0.0,15.65,0,10,5.65,22,0.0,25.788,0,10,15.788
23,0.0,15.741,0,12,3.741,23,0.0,22.839,0,12,10.839
24,0.0,15.863,0,14,1.863,24,0.0,22.732,0,14,8.732
25,0.0,15.716,0,16,0.284,25,0.0,23.95,0,16,7.95
26,0.0,15.693,0,18,2.307,26,0.0,22.826,0,18,4.826
27,0.0,26.817,0,20,6.817,27,0.0,23.129,0,20,3.129
28,0.0,25.554,0,22,3.554,28,0.0,22.746,0,22,0.746
29,0.0,30.769,0,24,6.769,29,0.0,23.211,0,24,0.789
30,0.0,30.723,0,26,4.723,30,0.0,31.021,0,26,5.021
31,0.0,30.912,0,28,2.912,31,0.0,30.241,0,28,2.241
32,0.0,30.785,0,30,0.785,32,0.0,30.045,0,30,0.045
33,0.0,30.727,0,32,1.273,33,0.0,30.311,0,32,1.689
34,0.0,30.867,0,34,3.133,34,0.0,30.227,0,34,3.773
35,0.0,39.241,0,36,3.241,35,0.0,41.018,0,36,5.018
36,0.0,42.707,0,38,4.707,36,0.0,41.422,0,38,3.422
37,0.0,43.997,0,40,3.997,37,0.0,40.834,0,40,0.834
38,0.0,44.135,0,42,2.135,38,0.0,41.665,0,42,0.335
39,0.0,44.138,0,44,0.138,39,0.0,41.688,0,44,2.312
40,0.0,44.189,0,46,1.811,40,0.0,41.612,0,46,4.388
41,0.0,44.051,0,48,3.949,41,0.023,41.733,0,48,6.267
42,2.19,49.819,0,50,2.197,42,0.0,39.404,0,50,10.596
43,3.084,52.112,0,52,3.086,43,4.167,47.659,0,52,6.017
44,4.462,55.645,0,54,4.756,44,6.81,51.265,0,54,7.339
45,4.802,55.902,0,56,4.803,45,11.126,49.492,0,56,12.89
46,5.084,56.0,2,56,3.084,46,15.898,56.0,2,56,13.898
47,5.76,56.0,4,56,1.76,47,10.349,56.0,4,56,6.349
48,6.049,56.0,6,56,0.049,48,10.017,56.0,6,56,4.017
49,6.085,56.0,8,56,1.915,49,10.164,56.0,8,56,2.164
50,12.617,56.0,10,56,2.617,50,10.035,56.0,10,56,0.035
51,16.041,56.0,12,56,4.041,51,10.143,56.0,12,56,1.857
52,15.468,56.0,14,56,1.468,52,10.535,56.0,14,56,3.465
53,20.674,56.0,16,56,4.674,53,22.274,56.0,16,56,6.274
54,23.556,56.0,18,56,5.556,54,23.48,56.0,18,56,5.48
55,25.595,56.0,20,56,5.595,55,24.328,56.0,20,56,4.328
56,25.554,56.0,22,56,3.554,56,24.457,56.0,22,56,2.457
57,25.653,56.0,24,56,1.653,57,24.497,56.0,24,56,0.497
58,25.556,56.0,26,56,0.444,58,24.385,56.0,26,56,1.615
59,25.551,56.0,28,56,2.449,59,24.39,56.0,28,56,3.61
,,,,Ave,3.702,,,,,Ave,5.215
,,,,Max,18.592,,,,,Max,26.278
,,,,Min,0.049,,,,,Min,0.035
,,,,Std,3.15,,,,,Std,5.2
,,,,Var,9.92,,,,,Var,27.035
