3F-SampleWCL_L4,,,,,,4F-SampleWCL_L4,,,,,
,estimated,,correct,,,,estimated,,correct,,
Index P,x,y,x,y,error,Index P,x,y,x,y,error
1,30.053,0.062,32,0,1.948,1,29.974,-0.028,32,0,2.026
2,29.113,0.0,30,0,0.887,2,29.584,0.0,30,0,0.416
3,25.472,0.0,28,0,2.528,3,29.952,0.0,28,0,1.952
4,27.698,0.0,26,0,1.698,4,21.869,0.0,26,0,4.131
5,22.836,0.0,24,0,1.164,5,21.271,0.0,24,0,2.729
6,20.688,0.0,22,0,1.312,6,20.793,0.0,22,0,1.207
7,20.677,0.0,20,0,0.677,7,20.515,0.0,20,0,0.515
8,17.744,0.0,18,0,0.256,8,20.569,0.0,18,0,2.569
9,10.304,0.0,16,0,5.696,9,12.43,0.0,16,0,3.57
10,9.266,0.0,14,0,4.734,10,9.748,0.0,14,0,4.252
11,9.706,0.0,12,0,2.294,11,9.268,0.0,12,0,2.732
12,9.159,-0.011,10,0,0.841,12,9.248,0.0,10,0,0.752
13,9.083,-0.034,8,0,1.084,13,9.208,-0.017,8,0,1.208
14,9.085,-0.022,6,0,3.085,14,9.088,-0.133,6,0,3.091
15,8.631,-1.989,4,0,5.04,15,4.89,-5.114,4,0,5.191
16,3.377,-6.868,2,0,7.005,16,6.26,-2.46,2,0,4.919
17,4.79,9.606,0,0,10.734,17,9.395,-0.622,0,0,9.416
18,2.066,13.364,0,2,11.55,18,8.573,-0.094,0,2,8.825
19,-0.157,15.358,0,4,11.359,19,-0.112,24.078,0,4,20.078
20,0.0,16.822,0,6,10.822,20,0.0,28.144,0,6,22.144
21,0.0,16.162,0,8,8.162,21,0.0,24.482,0,8,16.482
22,-0.007,15.918,0,10,5.918,22,-0.122,22.812,0,10,12.813
23,0.0,15.846,0,12,3.846,23,-0.142,20.795,0,12,8.796
24,0.0,16.108,0,14,2.108,24,0.0,23.958,0,14,9.958
25,0.0,15.889,0,16,0.111,25,0.0,26.688,0,16,10.688
26,0.0,15.968,0,18,2.032,26,0.0,24.688,0,18,6.688
27,0.0,27.611,0,20,7.611,27,0.0,23.295,0,20,3.295
28,0.0,25.857,0,22,3.857,28,0.0,22.82,0,22,0.82
29,-0.001,30.739,0,24,6.739,29,0.0,23.256,0,24,0.744
30,-0.001,30.697,0,26,4.697,30,0.0,29.2,0,26,3.2
31,-0.001,30.901,0,28,2.901,31,0.0,30.221,0,28,2.221
32,-0.0,30.779,0,30,0.779,32,0.0,30.063,0,30,0.063
33,0.0,30.712,0,32,1.288,33,0.0,30.304,0,32,1.696
34,0.0,30.933,0,34,3.067,34,0.0,30.337,0,34,3.663
35,0.0,39.797,0,36,3.797,35,0.0,40.859,0,36,4.859
36,0.0,42.665,0,38,4.665,36,0.0,41.415,0,38,3.415
37,0.022,44.054,0,40,4.054,37,0.0,40.8,0,40,0.8
38,0.009,44.158,0,42,2.158,38,0.0,41.646,0,42,0.354
39,0.0,44.124,0,44,0.124,39,0.0,41.68,0,44,2.32
40,0.002,44.195,0,46,1.805,40,0.0,41.341,0,46,4.659
41,0.194,44.555,0,48,3.45,41,0.0,40.987,0,48,7.013
42,2.067,48.738,0,50,2.422,42,0.0,37.139,0,50,12.861
43,3.474,51.553,0,52,3.503,43,3.518,46.731,0,52,6.336
44,4.505,55.647,0,54,4.797,44,8.44,51.879,0,54,8.702
45,4.829,55.776,0,56,4.834,45,6.57,45.853,0,56,12.088
46,5.625,56.0,2,56,3.625,46,15.737,55.737,2,56,13.74
47,5.773,56.0,4,56,1.773,47,10.483,56.0,4,56,6.483
48,6.538,56.0,6,56,0.538,48,10.059,56.0,6,56,4.059
49,6.338,56.0,8,56,1.662,49,10.245,56.0,8,56,2.245
50,12.603,56.0,10,56,2.603,50,10.037,56.0,10,56,0.037
51,13.678,56.0,12,56,1.678,51,10.187,56.0,12,56,1.813
52,14.017,56.0,14,56,0.017,52,10.852,56.0,14,56,3.148
53,20.217,56.0,16,56,4.217,53,21.818,56.0,16,56,5.818
54,23.361,56.0,18,56,5.361,54,23.332,56.0,18,56,5.332
55,25.305,56.0,20,56,5.305,55,24.275,56.0,20,56,4.275
56,25.428,56.0,22,56,3.428,56,24.436,56.0,22,56,2.436
57,25.632,56.0,24,56,1.632,57,24.446,56.0,24,56,0.446
58,25.035,56.0,26,56,0.965,58,24.272,56.0,26,56,1.728
59,25.486,56.0,28,56,2.514,59,24.219,56.0,28,56,3.781
,,,,Ave,3.538,,,,,Ave,5.112
,,,,Max,11.55,,,,,Max,22.144
,,,,Min,0.017,,,,,Min,0.037
,,,,Std,2.814,,,,,Std,4.844
,,,,Var,7.918,,,,,Var,23.463
